task_id,task_name,start_date,end_date,duration_days,level,element_type,ifc_class,element_count,hazard_state,predecessors,description,lag_days,origin
1,Basement 기둥 철근배근,2024-01-01,2024-01-03,3,Basement,기둥,IfcColumn,0,edge_open,,"철근 배근 (32개, 15개/일)",0,original
9101,Basement 거푸집 반입,2024-01-01,2024-01-01,1,Basement,자재,IfcColumn,0,edge_open,,"거푸집 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 2 착수 전 완료되도록 선행의 선행((없음))에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음. [주의] 선행의 선행이 없어(소비 공정이 프로젝트 기점) 선행으로 걸면 공기가 1일 늘어난다. 공기 불변 조건을 우선해 병렬 배치했고 '착수 전 완료'는 보장되지 않는다.",0,augment:material
9103,Basement 철근 반입,2024-01-01,2024-01-01,1,Basement,자재,IfcColumn,0,edge_open,,"철근 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 1 착수 전 완료되도록 선행의 선행((없음))에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음. [주의] 선행의 선행이 없어(소비 공정이 프로젝트 기점) 선행으로 걸면 공기가 1일 늘어난다. 공기 불변 조건을 우선해 병렬 배치했고 '착수 전 완료'는 보장되지 않는다.",0,augment:material
2,Basement 기둥 거푸집,2024-01-04,2024-01-05,2,Basement,기둥,IfcColumn,0,edge_open,1.0,"거푸집 설치 (32개, 20개/일)",0,original
9105,Basement 콘크리트 반입,2024-01-04,2024-01-04,1,Basement,자재,IfcColumn,30,edge_open,1,"콘크리트 자재 반입 (v2.6 신설, workType=delivery). 소비 공정 301 착수 전 완료되도록 선행의 선행(1)에 배치 — 크리티컬 패스에 얹지 않는다. 기간 1일은 productivity_rates.json 에 자재운반 rate 가 없어 최소 단위로 둔 것이며 근거 없음.",0,augment:material
301,Basement 기둥 콘크리트 타설 (Day 1/2),2024-01-06,2024-01-06,1,Basement,기둥,IfcColumn,30,edge_open,"2,9105","콘크리트 타설 (32개, 30개/일)",0,original
302,Basement 기둥 콘크리트 타설 (Day 2/2),2024-01-07,2024-01-07,1,Basement,기둥,IfcColumn,2,edge_open,301.0,"콘크리트 타설 (32개, 30개/일)",0,original
4,Basement 기둥 양생,2024-01-08,2024-01-13,6,Basement,양생,IfcColumn,0,,302.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)",0,original
5,Basement 슬래브 거푸집+동바리,2024-01-14,2024-01-16,3,Basement,슬래브,IfcSlab,0,edge_open,4.0,"거푸집+동바리 설치 (9개, 3개/일)",0,original
6,Basement 슬래브 철근배근,2024-01-17,2024-01-19,3,Basement,슬래브,IfcSlab,0,edge_open,5.0,"슬래브 철근 배근 (9개, 4개/일)",0,original
701,Basement 슬래브 콘크리트 타설 (Day 1/2),2024-01-20,2024-01-20,1,Basement,슬래브,IfcSlab,8,edge_open,6.0,"슬래브 콘크리트 타설 (9개, 8개/일)",0,original
702,Basement 슬래브 콘크리트 타설 (Day 2/2),2024-01-21,2024-01-21,1,Basement,슬래브,IfcSlab,1,edge_open,701.0,"슬래브 콘크리트 타설 (9개, 8개/일)",0,original
8,Basement 슬래브 양생,2024-01-22,2024-01-25,4,Basement,양생,IfcSlab,0,opening_open,702.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)",0,original
9,Basement 벽체 철근배근,2024-01-26,2024-02-07,13,Basement,벽체,IfcWall,0,edge_open,8.0,"벽체 철근 배근 (124개, 10개/일)",0,original
9001,Basement 슬래브 거푸집·동바리 해체,2024-01-26,2024-01-28,3,Basement,슬래브,IfcSlab,0,edge_open,8,"거푸집·동바리 해체 (Part1 신설). 선행=Basement 슬래브 양생, 존치 추가지연 retention_days=0일, 기간=설치작업 5 기간 3일",0,augment:strip
