ID,group,Trade,Directive,HoC,DesignDecidable,ActionBy,Spec,Source,arch,kalisN,kalisHarm,ruleType,simAction,cellTarget,fillsRung,note
KE_K_FE_10*,떨어짐 (Falls),거푸집 설치,재래식 강관비계·강관동바리 대신 시스템비계·시스템동바리를 설계 적용 — 규격화 부재로 조립불량에서 기인하는 위험 발생 경로 자체를 대체,대체,O,"SE, PE",구조검토서에 의한 시스템비계·동바리 설치,KALIS 위험요소 프로파일(2025) · 186건(떨어짐 147 / 깔림 31),C_SCAF_SYS,186,떨어짐·깔림,SpatialChangeRule,substitute_scaffold_system_reduce_assembly_defect_instances,CELL_Fall_FormErection,추락 사다리의 대체 등급(기존 공백),추락·붕괴 두 채널에 동시 작용하는 최초의 대안. 채널 간 상호작용 검증 케이스로 활용 가능
KE_K_RB_02*,떨어짐 (Falls),철근,슬래브 상부 배근 구간에 실족방지 발판 및 작업자 전용 가설 이동통로를 설치 — 배근면 직접 보행 자체를 회피,공학적,O,"SE, CON",–,KALIS 위험요소 프로파일(2025) · 167건(넘어짐 82 / 떨어짐 59),C_ROUTE,167,넘어짐·떨어짐,SpatialChangeRule,add_dedicated_walkway_reroute_agents,CELL_Fall_Rebar,철근 공종의 발빠짐·넘어짐 공학적 등급,동선을 직접 바꾸는 SpatialChangeRule — 효과가 계수가 아닌 창발로 산출되는 공학적 등급 사례
KE_K_FE_11,떨어짐 (Falls),거푸집 설치,동바리·비계 지지 지반의 평탄화 및 버림콘크리트 타설을 설계에 반영 — 부등침하 기인 전도·붕괴 차단,공학적,O,"CE, SE","버림콘크리트 10cm 타설, 부등침하 방지조치",KALIS 위험요소 프로파일(2025) · 11건,C_GROUND,11,떨어짐·깔림,AgentParameterRule,reduce_collapse_prob_for_prepared_ground,CELL_Collapse_FormErection,붕괴 사다리의 지반 기인 경로,계수 미확보 — sensitivityTarget 지정 필요
KE_K_FS_02*,떨어짐 (Falls),거푸집 해체,거푸집·동바리 존치기간과 해체시기·해체순서를 설계도면에 명기 — 조기 해체 및 무계획 해체 창(window) 제거,관리적,O,"SE, PE",존치기간 및 유의사항 도면 표기,KALIS 위험요소 프로파일(2025) · 90건(깔림 45 / 떨어짐 45),C_SHORE_KEEP,90,깔림·떨어짐,TemporalRule,set precedence: formwork_stripping(Z) requires retention_period_elapsed(Z),CELL_Fall_Stripping,붕괴 사다리의 관리적 등급(기존 공백),기존 LCR_SHORING_COLLAPSE의 despawnTrigger와 직접 대응 — 라이브러리와 시뮬레이터 정합 지점
KE_K_CP_07*,무너짐 (Collapse),타설,시스템동바리 적용으로 재래식 강관동바리의 조립불량 기인 붕괴 경로를 대체,대체,O,"SE, PE",높이 5m 이상 시 구조안전성 검토 반영,KALIS 위험요소 프로파일(2025) · 31건(깔림),C_SCAF_SYS,31,깔림,SpatialChangeRule,substitute_shoring_system_reduce_defect_derived_collapse_instances,CELL_Collapse_Pour,붕괴 사다리의 대체 등급 보강,기존 ALT_CP_PC(PC 전환)보다 비용·적용성이 낮은 대체 대안 — 대체 등급 내 비교 가능
KE_K_CP_08,무너짐 (Collapse),타설,가설기자재 인증품 반입 및 반입시험 실시를 설계도면에 명시 — 불량 자재 기인 붕괴 경로 차단,관리적,O,"SE, CON",–,KALIS 위험요소 프로파일(2025) · 11건,C_CERT,11,깔림,—,—,CELL_Collapse_Pour,붕괴 사다리의 관리적 등급,시뮬레이션 반영 불가(노출 불변) — 커버리지 기록용
KE_K_CP_09*,무너짐 (Collapse),거푸집 설치,조립·해체 작업순서도를 설계도서에 반영하여 공정 간 중첩 및 역순 해체를 사전 배제,제거,O,"PE, CON",–,KALIS 위험요소 프로파일(2025) · 49건(떨어짐 32 / 깔림 16),C_SEQ,49,떨어짐·깔림,TemporalRule,deconflict: enforce assembly/dismantling precedence order,CELL_Collapse_FormErection,붕괴 사다리의 제거 등급 보강,기존 RULE_HS_PHASED와 규칙 형식이 동일 — 통합 검토 가능
KE_K_HS_05*,물체에 맞음 (Struck-by Object),자재 운반,자재 다단적재 금지 및 작업발판 1개당 최대 적재하중을 도면에 표기 — 적치물 전도·낙하 발생원 자체를 제한,공학적,O,"SE, PE","작업발판 1개당 최대 적재하중 표기, 다단적재 금지",KALIS 위험요소 프로파일(2025) · 47건(깔림 35 / 떨어짐 11),C_LOAD,47,깔림,SpatialChangeRule,cap_material_stack_height_limit_spawn_volume,CELL_HitByObj_MatHandling,자재 운반의 공학적 등급(기존 TBM 편중),기존 RULE_TRIP_STORAGE(재배치)와 달리 적치 '양'을 제한 — 별개 규칙
KE_K_RB_03*,물체에 맞음 (Struck-by Object),철근,수직 철근 및 조립 철근에 전도방지 버팀대를 설치하도록 상세도를 설계에 반영,공학적,O,"SE, CON","수직 철근 버팀대 설치, 자립도 검토 및 앵커 보강",KALIS 위험요소 프로파일(2025) · 243건(깔림 210 / 찔림 21),C_REBAR_TIP,243,깔림·찔림,AgentParameterRule,reduce_material_topple_prob_for_braced_rebar,CELL_HitByObj_Rebar,철근 공종 물체에맞음의 공학적 등급(기존 TBM 단독),KALIS 내 단일 대책 중 2위 빈도. 계수 미확보 — sensitivityTarget
KE_K_HS_06,물체에 맞음 (Struck-by Object),거푸집 설치,가설울타리·가설휀스 설치계획도를 작성하여 낙하 영향구역과 통행구역을 물리적으로 분리,공학적,O,"PE, CON",–,KALIS 위험요소 프로파일(2025) · 38건(물체에 맞음 22 / 깔림 14),C_FENCE,38,물체에 맞음,SpatialChangeRule,block_agent_entry_to_drop_influence_zone,CELL_HitByObj_FormErection,낙하물 영향구역의 공간적 분리,H009_DropZone 채널 구현 시 직접 대응
