archetype,archetype_label,hoc_level,count,promoted,reason_code,example_1,example_2,example_3
U_STRUCT_REVIEW,구조검토·구조안전성 검토 실시,관리적,550,FALSE,NO_EXPOSURE,구조검토 및 조립도 작성,벽체 거푸집 구조검토 실시,추락위험성을 설계안전검토 시 반영
U_SHOP_DRAWING,조립도·상세도·작업도 작성,관리적,387,FALSE,NO_EXPOSURE,이동식비계 조립상세도 작성 및 설치기준 준수,계단실 작업발판 설치도면 작성,계단실 추락방지망 설치 상세도 작성
U_PLAN_DOC,작업계획서·시공계획 수립,관리적,184,FALSE,NO_EXPOSURE,보 조립 작업에 대한 안전대책 수립,낙하물방지망 설치·해체시 안전 작업계획 수립  작업 예시도 작성,콘크리트 타설 공사전에 안전조치 사전계획 수립
U_GUARDRAIL,안전난간·추락방지시설 설치,공학적,92,UNSURE,,구조물 시공 즉시 안전난간대 설치,안전기준에 적합한 추락방지시설 설치,단부 추락방지시설 설치 및 작업자 보호구 착용 점검
U_STD_COMPLY,기준·시방서 준수 일반,관리적,88,FALSE,NOT_DESIGN,이동식 (틀)비계 조립방법 준수,위험공종 작업 착수전 작업허가 절차 준수하여 작업시행토록 도면반영,시공 시 안전성 확보하도록 시방서 내 반영
U_PPE,안전대·보호구 사용,보호구,43,FALSE,NO_EXPOSURE,안전대 착용 및 단부 후크를 걸고 작업,띠장 상부 안전대 부착설비 설치,띠장 및 스트럿 상부 안전대 부착설비 설치
U_WORKPLATFORM,작업발판·계단실 발판 설치,공학적,37,UNSURE,,계단실 작업발판 설치방법 준수,철근배근상부에 근로자 이동 작업발판을 설치토록 방안 수립,고소구간 천장 작업발판 설치도를 설계도서에 반영
U_MARKING,위험요소 도면 표기·표지,경고,32,FALSE,NO_EXPOSURE,흙막이가시설 계측기를 설치할 수 있도록 설계도면에 표기,구조기술자확인받도록 설계도에 표기,추락위험이 있는 곳은 도면에 표기
U_POUR_CTRL,타설 속도·순서·측압 관리,관리적,29,FALSE,NO_CHANNEL,거푸집 측압 안정성 검토,거푸집 측압계산서 반영 및 분할타설하도록 반영,콘크리트 타설 시 타설 속도 및 타설순서 준수
U_CONNECTOR,연결재·벽이음 등 부재 접합 보강,공학적,23,UNSURE,,수평연결재 설치,거푸집 측압 지지용 플랫타이 설치,거푸집동바리 안전조치 및 강관동바리 설치시 수평연결재 설치 반영
U_ACCESS_CTRL,위험구역 출입통제,관리적,9,FALSE,NOT_DESIGN,현장통제 계획도 작성,주변 통제 방법 등 설계도서에 반영,포장공사시 작업반경 내 근로자 출입금지 및 유도자 배치
U_EDU,안전교육·특별교육 실시,관리적,5,FALSE,NOT_DESIGN,근로자 개인 보호구 착용 및 안전교육 실시,다단저갲금지 과적에 대한 안전교육 실시,협소공간 거푸집 설치시 현장상황을 고려하여 안전교육 실시
U_UNCLASSIFIED,원형 미분류 — 키워드 사전에 걸리지 않은 설계단계 기술,,740,UNSURE,,말비계 작업 예시도 작성,이동식비계 조립예시도 작성,옥상슬래브 안전가시설 설치 예시도 작성
U_NULL,설계단계 공란·(해당없음)·잔여위험요소 표기,,93,FALSE,NO_EXPOSURE,(해당없음),없음,<잔여위험요소로 반영>
