task_id,task_name,start_date,end_date,duration_days,level,element_type,ifc_class,element_count,hazard_state,predecessors,description
1,Basement 기둥 철근배근,2024-01-01,2024-01-03,3,Basement,기둥,IfcColumn,0,edge_open,,"철근 배근 (32개, 15개/일)"
2,Basement 기둥 거푸집,2024-01-04,2024-01-05,2,Basement,기둥,IfcColumn,0,edge_open,1.0,"거푸집 설치 (32개, 20개/일)"
301,Basement 기둥 콘크리트 타설 (Day 1/2),2024-01-06,2024-01-06,1,Basement,기둥,IfcColumn,30,edge_open,2.0,"콘크리트 타설 (32개, 30개/일)"
302,Basement 기둥 콘크리트 타설 (Day 2/2),2024-01-07,2024-01-07,1,Basement,기둥,IfcColumn,2,edge_open,301.0,"콘크리트 타설 (32개, 30개/일)"
4,Basement 기둥 양생,2024-01-08,2024-01-13,6,Basement,양생,IfcColumn,0,,302.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
5,Basement 슬래브 거푸집+동바리,2024-01-14,2024-01-16,3,Basement,슬래브,IfcSlab,0,opening_open,4.0,"거푸집+동바리 설치 (9개, 3개/일)"
6,Basement 슬래브 철근배근,2024-01-17,2024-01-19,3,Basement,슬래브,IfcSlab,0,opening_open,5.0,"슬래브 철근 배근 (9개, 4개/일)"
701,Basement 슬래브 콘크리트 타설 (Day 1/2),2024-01-20,2024-01-20,1,Basement,슬래브,IfcSlab,8,opening_open,6.0,"슬래브 콘크리트 타설 (9개, 8개/일)"
702,Basement 슬래브 콘크리트 타설 (Day 2/2),2024-01-21,2024-01-21,1,Basement,슬래브,IfcSlab,1,opening_open,701.0,"슬래브 콘크리트 타설 (9개, 8개/일)"
8,Basement 슬래브 양생,2024-01-22,2024-01-25,4,Basement,양생,IfcSlab,0,,702.0,"동바리 존치/탈형 대기 (4일, 평균기온 ≥10℃ 가정)"
9,Basement 벽체 철근배근,2024-01-26,2024-02-07,13,Basement,벽체,IfcWall,0,edge_open,8.0,"벽체 철근 배근 (124개, 10개/일)"
10,Basement 벽체 거푸집,2024-02-08,2024-02-16,9,Basement,벽체,IfcWall,0,edge_open,9.0,"벽체 거푸집 설치 (124개, 14개/일)"
1101,Basement 벽체 콘크리트 타설 (Day 1/5),2024-02-17,2024-02-17,1,Basement,벽체,IfcWall,25,edge_open,10.0,"벽체 콘크리트 타설 (124개, 25개/일)"
1102,Basement 벽체 콘크리트 타설 (Day 2/5),2024-02-18,2024-02-18,1,Basement,벽체,IfcWall,25,edge_open,1101.0,"벽체 콘크리트 타설 (124개, 25개/일)"
1103,Basement 벽체 콘크리트 타설 (Day 3/5),2024-02-19,2024-02-19,1,Basement,벽체,IfcWall,25,edge_open,1102.0,"벽체 콘크리트 타설 (124개, 25개/일)"
1104,Basement 벽체 콘크리트 타설 (Day 4/5),2024-02-20,2024-02-20,1,Basement,벽체,IfcWall,25,edge_open,1103.0,"벽체 콘크리트 타설 (124개, 25개/일)"
1105,Basement 벽체 콘크리트 타설 (Day 5/5),2024-02-21,2024-02-21,1,Basement,벽체,IfcWall,24,edge_open,1104.0,"벽체 콘크리트 타설 (124개, 25개/일)"
12,Basement 벽체 양생,2024-02-22,2024-02-27,6,Basement,양생,IfcWall,0,,1105.0,"측면 거푸집 해체 대기 (6일, 평균기온 ≥10℃ 가정)"
1301,Basement 계단 설치 (Day 1/3),2024-02-28,2024-02-28,1,Basement,계단,IfcStair,2,edge_protected,12.0,"계단 설치 (5개, 2개/일)"
1302,Basement 계단 설치 (Day 2/3),2024-02-29,2024-02-29,1,Basement,계단,IfcStair,2,edge_protected,1301.0,"계단 설치 (5개, 2개/일)"
1303,Basement 계단 설치 (Day 3/3),2024-03-01,2024-03-01,1,Basement,계단,IfcStair,1,edge_protected,1302.0,"계단 설치 (5개, 2개/일)"
1401,Basement 문 설치 (Day 1/4),2024-03-02,2024-03-02,1,Basement,문,IfcDoor,15,opening_covered,1303.0,"문 설치 (52개, 15개/일)"
1402,Basement 문 설치 (Day 2/4),2024-03-03,2024-03-03,1,Basement,문,IfcDoor,15,opening_covered,1401.0,"문 설치 (52개, 15개/일)"
