entry_id,hoc_level,accident_type,alternative_id,rule_type,rule_id,applies_to_cell_type,parameter_value,class,reason,base_alt_difference,fix_applied,enabling_condition
KE_C_WARN_01,경고,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_H001_01,제거,떨어짐,ALT_H001_01,SpatialChangeRule,RULE_H001_ELIM,floor_opening,,S,SpatialChangeRule `remove` — 격자에서 직접 구분된다,zone 이 사라진다,,
KE_H001_02,대체,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_H001_03,공학적,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_H001_04,제거,떨어짐,ALT_H001_04,TemporalRule,RULE_H001_TEMPORAL,,,S,TemporalRule 파싱 `set_fs_lag`,공정·생멸 시점이 이동 (set_fs_lag),,
KE_H001_05,공학적,떨어짐,ALT_H001_05,AgentParameterRule,RULE_H001_GUARD,opening_edge_cells,fallProbMultiplier=0.10,S,채널 배율 적용 {'fall': 0.1},λ 배율 {'fall': 0.1},,
KE_H001_06,경고,떨어짐,,,,,,P,rule_type 이 비어 있다 (규칙 미작성),미정 — 규칙이 없어 판정 불가,,
KE_K_CA_02,공학적,끼임,ALT_K_CA_02,AgentParameterRule,RULE_K_CA_02,,,C,AgentParameterRule 인데 parameter_value 가 비어 있다. 원천에 계수가 존재하지 않는다 (지어내지 않음).,없음 — 배율이 없어 BASE 와 동일,,
KE_K_CA_03,공학적,끼임,ALT_K_CA_03,AgentParameterRule,RULE_K_CA_03,,,C,AgentParameterRule 인데 parameter_value 가 비어 있다. 원천에 계수가 존재하지 않는다 (지어내지 않음).,없음 — 배율이 없어 BASE 와 동일,,
KE_K_CP_07,대체,무너짐,ALT_K_CP_07,SpatialChangeRule,RULE_K_CP_07,collapse_zone,,X,"결함 유래 collapse 인스턴스만 축소하는 지시인데, 모델의 H008 zone 에 '결함 유래' 구분이 없다. 시스템동바리로 바꿔도 zone 형상·기간이 같다.",수정 후: kind=scale {'collapse_zone': 1.0},,H008 zone 을 결함원인별로 나눌 수 있는 데이터(동바리 종류·조립 품질)
KE_K_CP_09,제거,무너짐,ALT_K_CP_09,TemporalRule,RULE_K_CP_09,,,X,'조립/해체 선후 강제'라는 지시인데 **어떤 작업 쌍인지 특정되지 않는다.** 무엇을 바꿔야 할지 알 수 없어 BASE 와 ALT 가 같아진다.,공정·생멸 시점이 이동 (unsupported),,대상 작업 쌍을 명시한 scheduleShift 문구
KE_K_FE_10,대체,떨어짐,ALT_K_FE_10,SpatialChangeRule,RULE_K_FE_10,scaffold,,X,"TS3 비계가 슬래브 외곽선을 1.5 m 밴드로 오프셋한 하나뿐이며, 시스템비계와 재래식의 형상 차이(경간·작업발판 일체 여부·통로 폭)가 모델에 없다. 두 상태가 동일한 밴드로 파생된다.",수정 후: kind=scale {'fall': 1.0},,KCS 21 60 10 등에서 규격 차이를 확보해 TS3 를 두 종류로 파생
KE_K_FE_11,공학적,무너짐,ALT_K_FE_11,AgentParameterRule,RULE_K_FE_11,collapse_zone,,C,AgentParameterRule 인데 parameter_value 가 비어 있다. 원천에 계수가 존재하지 않는다 (지어내지 않음).,없음 — 배율이 없어 BASE 와 동일,,
KE_K_FS_02,관리적,떨어짐,ALT_K_FS_02,TemporalRule,RULE_K_FS_02,,,D,scheduleShift 'formwork_stripping(Z) requires retention_period_elapsed(Z)' 를 parse_schedule_shift 가 인식하지 못했다.,공정·생멸 시점이 이동 (retention_period),패턴 추가 (v3.6). v3.6 Part A 에서 KCS 3개 층 존치를 temp_works R3 에 구현해 대응이 명확해졌다. 실행은 zone 생성이 하며 스케줄은 건드리지 않는다.,
KE_K_HS_05,공학적,물체에맞음,ALT_K_HS_05,SpatialChangeRule,RULE_K_HS_05,material_storage,,X,"적재 높이 제한으로 spawn 부피를 줄이는 지시인데, 모델의 H004 zone 은 면적만 갖고 높이·적치 단수 개념이 없다.",수정 후: kind=scale {'material': 1.0},,적재물 높이/단수를 zone 속성으로 파생 (현재 적치 단수 3 은 임의값)
KE_K_HS_06,공학적,물체에맞음,ALT_K_HS_06,SpatialChangeRule,RULE_K_HS_06,drop_zone,,D,simulation_action 이 'block_agent_entry_to_drop_influence_zone' 인데 controls 가 정확히 'block_agent_entry' 만 받아 통과하지 못했다.,수정 후: kind=block {},접두 일치로 변경 (v3.6). 대상은 appliesToCellType=drop_zone 이 이미 지정.,
