entry_id,status,accident_type,trade,scenario_ids,directive_ko,hoc_level,spec,action_by,design_decidable,promoted,reason_code,exposure_channel,adjudication_note,hoc_rule_exception,source_id,source_type,source_edition,legal_basis,legal_verified_date,evidence_level,rule_type,rule_id,simulation_action,parameter_value,parameter_source,sensitivity_target,applies_to_cell_type,cell_type_basis,supersedes,redundant_with,requires,residual_risk,ifc_class,ifc_predefined_type,target_pset,geometry_operation,install_cost_level,install_duration_days,cost_note,in_experiment_set,kalis_frequency,needs_review,note
KE_H001_01,draft,떨어짐,타설,SCN_04;SCN_05,설비 관통 개구부를 통합 샤프트로 집약 설계하여 슬래브 개구부 개소 수 자체를 축소,제거,,,TRUE,TRUE,,dwell_time,물리적 조치(샤프트/축소/통합) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부/샤프트).,FALSE,REF_S15P;REF_S4,학술,2019,,,,SpatialChangeRule,RULE_H001_ELIM,remove_hazard_instances,,design_change,FALSE,floor_opening,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,high,,,,0,TRUE,원천 evidenceLevel='literature' — 목표 열거형에 대응 없음
KE_H001_02,draft,떨어짐,타설,SCN_04,재래식 현장타설 대신 하프PC 슬래브 채택으로 현장 개구부 형성 작업 자체를 대체,대체,,,TRUE,TRUE,,dwell_time,물리적 조치(타설/대체/채택) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부).,FALSE,REF_S4,지침,2024,,,,,,,,,FALSE,,,,,,,,,,,,,,,0,TRUE,"관계 후보(미판정, 서술문 근거): ALT_CP_PC | 원천 promotionStatus=deferred"
KE_H001_03,draft,떨어짐,타설,SCN_04;SCN_05,개구부 덮개를 거푸집 제작 시 일체 선시공(cast-in cover)하여 무방호 노출 기간 원천 제거,공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(덮개/시공/선시공) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부/덮개).,FALSE,REF_KR_R43;REF_S16;REF_S4,법령,고용노동부령 제450호,산업안전보건기준에 관한 규칙(고용노동부령 제450호) 제43조 (개구부 등의 방호 조치),,,,,,,,FALSE,,,,,,,,,,,,,,,0,TRUE,원천 evidenceLevel='law' — 목표 열거형에 대응 없음
KE_H001_04,draft,떨어짐,타설,SCN_04;SCN_05,개구부 마감(closure) 액티비티를 타설 직후로 전진 배치하여 activeWindow 자체를 단축,제거,,,TRUE,TRUE,,dwell_time,물리적 조치(타설/배치) 및 공정 순서·시점 변경(전진/직후) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부).,FALSE,REF_S1,학술,1997,,,,TemporalRule,RULE_H001_TEMPORAL,set FS_lag(slab_pour -> opening_closure) = 0 days,,schedule_logic,FALSE,,TemporalRule — 격자 대상 아님(별도 경로),,,,,,,,,low,,효과는 배율이 아니라 activeWindow 단축에서 창발 — 시뮬레이션이 산출,,0,FALSE,
KE_H001_05,draft,떨어짐,타설,SCN_04;SCN_05,안전난간·수직형 추락방호망을 개구부 주위에 설치,공학적,,,TRUE,TRUE,,dwell_time,물리적 조치(난간/방호망/설치) 수반 → 승격. 노출 채널 dwell_time (근거어: 개구부/난간/추락방호).,FALSE,REF_KR_R43;REF_S12,법령,고용노동부령 제450호,"산업안전보건기준에 관한 규칙(고용노동부령 제450호) 제43조 (개구부 등의 방호 조치) | 29 CFR 1926.502(i) — 개구부 안전난간은 방호되지 않은 모든 측면에 설치, 덮개는 예상 하중의 2배 이상 지지",,,AgentParameterRule,RULE_H001_GUARD,,fallProbMultiplier=0.10,literature,FALSE,opening_edge_cells,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,low,1,난간 등 공학적 통제의 추락 감소 효과 — v1.2 계수 승계,,0,TRUE,원천 evidenceLevel='law' — 목표 열거형에 대응 없음
KE_H001_06,draft,떨어짐,타설,SCN_04,개구부 인접 구역 감지·경보 장치(접근 경보) 설치,경고,,,TRUE,TRUE,,dwell_time,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정 (재해유형 떨어짐 → dwell_time),FALSE,REF_S10,기술기준,,,,standard,,,,,,FALSE,,,,,,,,,,,,,,,0,TRUE,원천 promotionStatus=deferred
KE_H001_07,draft,떨어짐,타설,SCN_04;SCN_05,개구부 구역 출입통제 구획 및 작업허가제 운영,관리적,,,FALSE,FALSE,NOT_DESIGN,none,design_decidable=FALSE — 시공자 준수사항·현장 관리 행위로 설계 단계에서 결정되지 않음.,FALSE,REF_S13,학술,2014,,,,AgentParameterRule,RULE_ADM_H001,,fallProbMultiplier=0.59,,FALSE,floor_opening,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,low,,"v1.2 ALT-H001-L4 승계 (ADM_RISK_TOL=0.15, ADM_FALL_FACTOR=0.59 정합)",,0,TRUE,원천 parameterSourceType='inherited_v1' — 목표 열거형에 대응 없음 | 원천 promotionStatus=promoted
KE_H001_08,draft,떨어짐,타설,SCN_04;SCN_05,개구부 인접 작업 시 안전대 부착설비 및 착용,보호구,,,FALSE,FALSE,NOT_DESIGN,none,design_decidable=FALSE — 시공자 준수사항·현장 관리 행위로 설계 단계에서 결정되지 않음.,FALSE,REF_KR_R44;REF_S34,법령,고용노동부령 제450호,산업안전보건기준에 관한 규칙(고용노동부령 제450호) 제44조 (안전대의 부착설비 등),,,AgentParameterRule,RULE_PPE_H001,,fatalityMultiplier=0.27;injuryMultiplier=1.00,,FALSE,floor_opening,v2.3 정본 값 (유도하지 않음 — 정본이 우선),,,,,,,,,low,,"v1.2 ALT-H001-L5 승계 (PPE_FATAL_FACTOR=0.27): 노출 유지, 심각도만 감소 — SWR 지표 필요성의 근원",,0,TRUE,원천 evidenceLevel='law' — 목표 열거형에 대응 없음 | 원천 parameterSourceType='inherited_v1' — 목표 열거형에 대응 없음 | 원천 promotionStatus=promoted
KE_K_CA_02,active,끼임,철근,,철근 가공기계의 조작 스위치 발등 덮개 등 방호장치를 설계 안전대책으로 제시,공학적,조작 스위치 발등 덮개,SE;CON,TRUE,TRUE,,proximity,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정 (재해유형 끼임 → proximity),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_CA_02,reduce_caught_prob_at_machine_cells,,heuristic,TRUE,,적용 불가: proximity(끼임) 채널은 현재 zone 집합에 대응 유형이 없다,,,,,,,,,mid,,끼임 셀이 전부 TBM 교육이던 상태를 해소하는 첫 항목,,4,TRUE,fillsRung=끼임 사다리 최초의 비관리적 등급
KE_K_CA_03,active,끼임,거푸집해체,,갱폼 앵커볼트 선해체 방지용 방호장치를 설계에 반영,공학적,,SE;CON,TRUE,TRUE,,proximity,v2.5 사람 판정: 채널 특정 불가 논거 해소 — 노출 채널은 재해유형이 결정 (재해유형 끼임 → proximity),FALSE,REF_KALIS_HRP,공공데이터,20250923,,,official_data,AgentParameterRule,RULE_K_CA_03,reduce_premature_release_prob,,heuristic,TRUE,,적용 불가: proximity(끼임) 채널은 현재 zone 집합에 대응 유형이 없다,,,,,,,,,mid,,갱폼 사용 프로젝트에 한정 — applicabilityCondition 필요,,1,TRUE,fillsRung=해체 공종 끼임의 공학적 등급
